,Día,Vegetación,Conejos,Zorros
0,0,150.0,80,15
1,1,207.6,92,15
2,2,292.96000000000004,109,16
3,3,383.8560000000001,130,17
4,4,387.3848000000001,153,18
5,5,465.4848000000001,178,19
6,6,456.3878400000001,208,20
7,7,537.3878400000001,243,21
8,8,504.0102720000001,285,22
9,9,574.310272,337,23
10,10,510.0482176000001,399,24
11,11,556.0482176,471,25
12,12,597.4482176,559,26
13,13,735.09303936,678,21
14,14,808.89303936,807,17
15,15,990.5823432960001,982,13
16,16,1207.4405776256,1195,10
17,17,1322.1405776256001,1431,8
18,18,1433.7405776256,1716,6
